PaperID,NSF_Award_Number,Type,Diff_ZScore,AwardNumber,DOI,DocType,Year,Date,JournalID,ConferenceSeriesID,Citation_Count,C10,Reference_Count,C5,Team_Size,Institution_Count,Disruption,Atyp_10pct_Z,Atyp_Pairs,Atyp_Median_Z,SB_B,SB_T,Patent_Count,Newsfeed_Count,Tweet_Count,NCT_Count,NIH_Count,NSF_Count,WSB_mu,WSB_sigma,WSB_Cinf,JournalTitle,PaperTitle,BookTitle,Publisher,Volume,Issue,FirstPage,LastPage,OriginalVenue,FamilyID,RetractionType
2845128011,NSF-1068864,Crossref,NA,1068864,10.1145/3205651.3208217,Conference,2018,7/6/18,NA,1140000399,2,NA,1,NA,6,4,0,NA,NA,NA,NA,NA,0,0,0,0,0,5,NA,NA,NA,NA,A multidimensional genetic programming approach for identifying epsistatic gene interactions,GECCO (Companion),ACM,NA,NA,23,24,genetic and evolutionary computation conference,NA,
2853563898,NSF-1449617,First,NA,1449617,10.1002/HYP.13226,Journal,2018,8/30/18,75830442,NA,3,NA,30,NA,4,2,-0.001277139,12.53192236,140,151.182123,0,0,0,0,23,0,0,3,NA,NA,NA,Hydrological Processes,The importance of incorporating diurnally fluctuating stream discharge in stream temperature energy balance models,,"John Wiley & Sons, Ltd",32,18,2901,2914,Hydrological Processes,NA,
2855998481,NSF-1633740,First,NA,1633740,10.1038/S41893-018-0098-9,,2018,7/1/18,NA,NA,14,NA,11,NA,2,1,-0.00122474,NA,NA,NA,NA,NA,0,0,45,0,0,1,NA,NA,NA,NA,The global risks of increasing reliance on bottled water,,Nature Publishing Group,1,7,327,329,Nature Sustainability,NA,
2859077248,NSF-1069104,Crossref,NA,1069104,10.1007/S12311-018-0960-3,Journal,2018,12/1/18,107707151,NA,23,NA,144,NA,3,1,-0.001266498,13.09111937,761,172.3964853,-0.25,1,0,0,0,0,1,1,NA,NA,NA,The Cerebellum,Complex Spike Wars: a New Hope.,,Springer US,17,6,735,746,The Cerebellum,NA,
2860278435,NSF-1144646,First,NA,1144646,10.1021/ACS.BIOMAC.8B00679,Journal,2018,7/9/18,11629336,NA,5,NA,62,NA,6,1,-6.73E-05,-26.53981633,714,18.70158244,1.5,1,0,0,4,0,0,2,NA,NA,NA,Biomacromolecules,Synthesis and Self-Assembly of Amphiphilic Star/Linear-Dendritic Polymers: Effect of Core versus Peripheral Branching on Reverse Micelle Aggregation,,American Chemical Society,19,8,3177,3189,Biomacromolecules,NA,
2860395327,NSF-1250104,Crossref,NA,1250104,10.1109/TNSRE.2018.2853143,Conference,2018,7/5/18,NA,2232857946,15,NA,46,NA,5,2,-0.000198342,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,Assessing Wrist Movement With Robotic Devices,,IEEE,26,8,1585,1595,international conference of the ieee engineering in medicine and biology society,NA,
2861089591,NSF-1068871,Crossref,NA,1068871,10.1029/2018JD028628,Journal,2018,8/16/18,207178839,NA,18,NA,36,NA,5,4,-0.006069803,-1.980220019,71,180.4136006,-0.25,1,0,0,0,0,0,4,NA,NA,NA,Journal of Geophysical Research,Distinct Turbulence Structures in Stably Stratified Boundary Layers With Weak and Strong Surface Shear,,"John Wiley & Sons, Ltd",123,15,7839,7854,Journal of Geophysical Research,2861089591,
2867915452,NSF-1633008,First,NA,1633008,10.1021/ACS.JCHEMED.8B00354,Journal,2018,7/10/18,105208853,NA,4,NA,3,NA,2,2,0.013513514,-43.21840306,3,-36.4783932,0,0,0,0,2,0,0,1,NA,NA,NA,Journal of Chemical Education,The Mantra of Graduate Education Reform: Why the Prayers Aren’t Answered,,"American Chemical Society and Division of Chemical Education, Inc.",95,7,1083,1085,Journal of Chemical Education,NA,
2873067559,NSF-1144646,First,NA,1144646,10.1021/ACS.BIOMAC.8B00680,Journal,2018,7/9/18,11629336,NA,14,NA,66,NA,5,1,0,-19.98897394,792,14.49201515,0.666666667,2,0,0,3,0,0,2,NA,NA,NA,Biomacromolecules,Evaluation of Amphiphilic Star/Linear-Dendritic Polymer Reverse Micelles for Transdermal Drug Delivery: Directing Carrier Properties by Tailoring Core versus Peripheral Branching.,,American Chemical Society,19,8,3163,3176,Biomacromolecules,NA,
2883002191,NSF-1633722,First,NA,1633722,10.1080/23273798.2018.1501501,Journal,2020,6/2/20,2765072596,NA,2,NA,101,NA,4,1,3.97156360459113e-05,1.624356645,1193,118.8789805,0,0,0,0,0,0,0,1,NA,NA,NA,"Language, cognition and neuroscience",Interactionism in language: from neural networks to bodies to dyads,,Routledge,35,5,543,558,"Language, cognition and neuroscience",NA,
2883066413,NSF-1144843,Crossref,NA,1144843,10.1002/JEE.20198,Journal,2018,4/1/18,73400788,NA,6,NA,54,NA,3,2,0.000110223,-2.120471,326,7.00594238,1,2,0,0,1,0,0,1,NA,NA,NA,Journal of Engineering Education,Ethics and Sustainability in Global Contexts: Studying Engineering Student Perspectives Through Photoelicitation,,"John Wiley & Sons, Ltd",107,2,238,262,Journal of Engineering Education,NA,
2883273120,NSF-1545453,First,NA,1545453,10.1016/J.CUB.2018.05.072,Journal,2018,7/23/18,128425624,NA,2,NA,13,NA,2,1,-0.000762195,2.78311823,38,137.4737245,2,2,0,0,4,0,0,2,NA,NA,NA,Current Biology,Domestication Genomics: Untangling the Complex History of African Rice.,,Cell Press,28,14,,,Current Biology,NA,
2883274865,NSF-1735235,First,NA,1735235,10.1016/J.CATENA.2018.06.005,Journal,2018,11/1/18,44098145,NA,11,NA,56,NA,2,1,-0.000195381,-13.13530237,672,34.31319464,0.5,1,0,0,0,0,0,1,NA,NA,NA,Catena,Predicted 21st century climate variability in southeastern U.S. using downscaled CMIP5 and meta-analysis,,Elsevier,170,NA,409,420,Catena,NA,
